x,y,yaw,v
135.2095,1528.9425,1.5532,21.8635
135.2342,1530.3528,1.5533,21.8316
135.2585,1531.7407,1.5533,21.7998
135.2830,1533.1416,1.5534,21.7576
135.3067,1534.5029,1.5534,21.7260
135.3309,1535.8955,1.5534,21.6947
135.3558,1537.3247,1.5534,21.6633
135.3798,1538.7021,1.5534,21.6322
135.4038,1540.0835,1.5534,21.5907
135.4284,1541.4924,1.5534,21.5596
135.4529,1542.9012,1.5534,21.5286
135.4767,1544.2668,1.5534,21.4977
135.5009,1545.6614,1.5533,21.4565
135.5254,1547.0687,1.5533,21.4256
135.5487,1548.4080,1.5533,21.3947
135.5728,1549.7930,1.5533,21.3638
135.5968,1551.1718,1.5533,21.3330
135.6200,1552.4995,1.5534,20.6038
135.6426,1553.8018,1.5534,20.0889
135.6653,1555.1061,1.5534,19.5562
135.6870,1556.3564,1.5534,18.9949
135.7078,1557.5543,1.5535,18.7983
135.7288,1558.7670,1.5535,18.4841
135.7502,1560.0088,1.5535,17.8886
135.7700,1561.1573,1.5535,17.3831
135.7895,1562.2906,1.5534,17.0800
135.8080,1563.3689,1.5534,16.5175
135.8265,1564.4412,1.5533,16.2666
135.8447,1565.4976,1.5533,15.8869
135.8626,1566.5269,1.5533,15.1578
135.8868,1567.9242,1.5533,14.8487
135.9099,1569.2551,1.5533,13.9408
135.9332,1570.5963,1.5534,13.7411
135.9545,1571.8231,1.5534,12.9622
135.9751,1573.0098,1.5534,12.7976
135.9953,1574.1696,1.5534,11.9698
136.0150,1575.2970,1.5535,11.7649
136.0340,1576.3918,1.5535,11.1192
136.0520,1577.4302,1.5536,11.0704
136.0696,1578.4441,1.5535,10.1363
136.0907,1579.6667,1.5535,9.6734
136.1102,1580.7896,1.5535,8.9994
136.1292,1581.8892,1.5534,8.9520
136.1482,1582.9934,1.5535,8.9048
136.1668,1584.0760,1.5535,9.0015
136.1863,1585.2064,1.5536,9.3291
136.2057,1586.3434,1.5536,9.2704
136.2249,1587.4600,1.5523,9.2197
136.2445,1588.6084,1.5377,9.1609
136.2830,1589.7144,1.5333,9.1095
136.3273,1590.8186,1.5333,9.0609
136.3686,1591.9169,1.5333,9.0124
136.4093,1593.0165,1.5333,8.9639
136.4539,1594.2063,1.5334,9.4069
136.4970,1595.3517,1.5334,9.8038
136.5436,1596.5924,1.5321,10.2115
136.5914,1597.8558,1.5155,10.2336
136.6605,1599.1058,1.5047,10.1781
136.7468,1600.3530,1.5046,10.1297
136.8298,1601.5931,1.5045,10.0818
136.9119,1602.8396,1.5046,10.0255
136.9931,1604.0686,1.5046,9.9763
137.0766,1605.3264,1.5046,9.9266
137.1570,1606.5376,1.5045,9.8765
137.2388,1607.7719,1.5045,9.8184
137.3185,1608.9736,1.5045,9.7692
137.3978,1610.1685,1.5045,9.7212
137.4782,1611.3800,1.5045,9.6738
137.5578,1612.5785,1.5045,9.6270
137.6391,1613.8020,1.5045,9.5723
137.7171,1614.9775,1.5045,9.5252
137.7960,1616.1658,1.5045,9.4776
137.8760,1617.3711,1.5045,9.4219
137.9544,1618.5490,1.5072,9.4166
138.0306,1619.7407,1.5194,9.4553
138.0905,1620.9366,1.5344,9.5137
138.1314,1622.1360,1.5511,9.5999
138.1521,1623.3621,1.5686,9.6841
138.1512,1624.5669,1.5853,9.7755
138.1299,1625.7836,1.6011,9.8874
138.0888,1627.0231,1.6158,9.9857
138.0292,1628.2773,1.6298,10.0837
137.9512,1629.5496,1.6438,10.1795
137.8564,1630.8097,1.6566,10.2728
137.7413,1632.1144,1.6697,10.3766
137.5760,1633.7214,1.6867,10.4885
137.4579,1634.7316,1.6980,10.5417
137.3276,1635.7458,1.7099,10.6045
137.1830,1636.7743,1.7227,10.6642
137.0227,1637.8153,1.7361,10.7201
136.8500,1638.8452,1.7499,10.7724
136.6618,1639.8793,1.7642,10.8231
136.4563,1640.9229,1.7787,10.8707
136.1950,1642.1458,1.7960,10.9132
135.9010,1643.4137,1.8140,10.9621
135.6331,1644.4878,1.8295,10.9980
135.3630,1645.5049,1.8448,11.0306
135.0612,1646.5760,1.8623,11.0611
134.7557,1647.5933,1.8795,11.0896
134.4185,1648.6470,1.8980,11.1159
134.0667,1649.6802,1.9167,11.1401
133.6993,1650.6959,1.9354,11.1628
133.3084,1651.7170,1.9540,11.1838
